Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.6365066,426.7380678,454.3713151,519.540562,509.5720332,516.2363965,575.0368276,644.4542727,775.370298,1012.34514,1404.7499,1871.853888,2742.264435,3546.084236,2583.616131,2758.458143,2999.033604,3172.034408,3409.886713,3524.890871,3150.669544,3108.22045,3475.204348,3687.291522,4019.858444,3617.03199,3790.564809,,,
American Samoa,ASM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2692.518584,2843.539996,3265.218037,3961.972558,5350.45667,5800.844572,6205.38118,6336.90328,6735.988549,7428.288832,8172.988546,9728.451801,10258.18128,9380.934154,10074.81506,9142.596003,9054.964452,9257.534951,11456.17924,14164.7447,14199.38386,14632.70862,14470.31004,13945.39832,14441.53945,16118.04654,17458.73875,18756.0527,17083.68285,16493.57603,17264.57483,15632.68728,16161.31835,18933.24808,24524.49803,26918.77948,28348.20664,31382.23936,38072.67519,33482.7319,40434.7357,48363.13547,53605.73872,53871.55493,48732.92493,44512.59603,39077.68932,42069.08515,44204.1255,42130.89464,40036.44582,45710.89045,,,
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1761.38358,2033.970761,2497.417791,3332.098712,3957.524192,4500.816852,4855.456556,5800.345869,6956.923372,8311.172615,9175.135294,7864.491315,7896.856165,8040.735666,7571.967499,7740.789041,11018.27676,13792.32398,14880.06437,14792.55803,18400.43006,18906.06152,20999.64742,20251.09894,21546.58456,25386.48873,25025.55342,22282.14526,22789.99869,22355.1945,20391.62387,20142.90999,21920.52198,26718.41844,30611.2492,31858.61604,33992.18043,39159.00578,43635.10993,39649.39482,39022.25616,42625.23735,39980.63084,41694.07141,42465.76661,35811.68578,37196.16775,38441.73272,41651.80739,40712.57534,39515.55741,43281.73348,,,
Azerbaijan,AZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.7517644,427.7966536,382.1721725,456.2725017,572.6336182,673.1908687,761.0827362,947.1403907,1378.448165,2062.968932,3092.188039,3275.461603,4040.20531,4784.739454,5294.537688,5674.20814,6051.697062,4460.30161,3029.305999,3226.152448,3414.822967,3656.141682,3530.660537,3965.424396,,,
Burundi,BDI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,166.7894614,170.8231083,165.4106715,180.8450322,158.8404903,182.5904495,180.6575819,162.0147439,150.4629904,151.4529601,146.4913777,150.8792391,133.2556871,118.5669095,111.5473926,101.5970545,80.40690775,98.60971631,85.67079724,89.76412477,98.67287801,87.95653453,73.89874748,49.48817816,67.15201439,85.52508326,101.7074359,87.20474357,99.43077185,108.8844104,134.13015,140.0494194,159.1551922,164.079509,175.8240158,202.0450777,160.4994974,160.7895958,163.0881199,152.5862591,150.0321826,150.9325674,,,
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2408.954213,2689.699253,3347.155611,4303.570426,5019.883325,5871.784156,6389.577484,7358.972852,8975.478712,10239.07882,10883.39472,8911.375435,7799.440502,7382.650522,7119.162823,7401.877397,10345.01426,12939.76773,14090.04185,14168.78998,17687.37227,18087.65477,20048.89093,19260.13287,21122.53918,24603.41062,23714.32395,21429.06745,21830.11966,21654.62471,19849.08633,19540.07128,21180.86237,25875.24573,29772.01408,30809.48264,32327.93156,36972.48912,40409.15791,36866.04911,36326.63933,38266.98374,36945.841,38766.03804,39529.63106,33799.73983,34528.49059,36341.19107,39046.70141,38340.122,36801.28174,41743.01428,,,
Benin,BEN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,95.16617307,114.9443521,135.7320054,146.5108198,170.9594451,171.9307836,171.3734685,210.487977,270.7797062,310.5618602,279.4440883,251.9128595,212.5734887,194.5238793,195.3209709,240.0170118,273.3158169,275.2886794,238.7334985,303.8748208,299.3219101,231.7827232,311.3306251,193.1572534,254.3169944,268.4671463,254.8861627,271.4167227,420.9726941,394.7086343,408.8052416,463.4404611,578.5092631,652.4842283,675.7971681,701.279477,792.4322603,922.4571293,882.9768265,835.8037865,919.3505087,938.4780566,1038.962879,1075.709759,898.7970381,906.4334423,937.83574,1023.026103,1002.593298,1058.144905,1173.285653,,,
Burkina Faso,BFA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,262.4545366,234.1459842,224.2130937,197.5056684,174.693672,180.2381626,229.8768802,258.7635928,277.780007,270.3053247,312.1766062,307.7591355,321.1260151,298.0302718,170.150404,209.9779545,224.3066403,205.6060617,228.0068202,268.2256958,232.9184286,242.1196348,264.2750672,335.0136916,371.9202911,404.8564483,418.2713596,472.7316395,564.5841539,536.8762988,536.4078866,600.7477058,629.0124765,656.5531648,653.9370902,543.1460657,574.4594987,613.2867856,677.4041963,652.8998364,683.9393089,670.0551391,,,
Bangladesh,BGD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,101.2161712,152.8502269,229.5547178,115.9156341,105.7215677,143.3236481,165.9749204,189.4306857,210.1850131,186.9667957,175.4358392,183.7700727,209.0150461,199.8401282,218.9703904,233.8591218,248.0962059,266.2185502,256.3323136,257.9853566,265.9119458,266.8326008,294.0210626,351.6817851,359.9798031,365.6769506,368.6316546,377.2716819,373.9454625,376.7162402,408.638011,437.7796636,461.1929336,472.399017,523.4476779,605.3081688,672.1106025,749.6170877,826.613898,853.6908001,949.5204786,1068.928497,1194.180107,1580.77342,1712.10431,1869.935743,2186.771894,2305.858345,2567.444321,,,
Bulgaria,BGR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1895.491495,1903.681002,1848.261436,1587.358926,1685.612494,1638.178142,1933.192095,2667.056028,2092.520867,2031.310748,1831.42678,955.5230043,1029.51105,1079.92136,1001.333421,2062.436164,1321.489314,1231.070194,1600.716056,1439.822798,1373.015133,1546.245025,1857.505326,2371.187279,2944.821166,3338.792654,3734.94184,4613.521831,5971.739988,5759.802811,5620.271104,6408.16262,6243.723979,6516.286569,6784.311067,5981.340694,6449.499381,7250.142392,8115.855627,8608.714248,8797.593356,10690.31436,,,
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1950.708279,3400.641481,5574.662098,5923.696589,5349.633292,3528.652728,3329.104159,3265.754902,4162.472808,3742.652622,4750.972823,6675.302037,6313.179268,6579.861633,7098.242425,7612.475258,7484.584863,7443.228997,7650.258393,7363.956131,9632.069844,9423.389742,9323.675967,10177.56813,11138.51234,12370.43561,13343.34734,14993.40466,15798.9449,13040.12038,13750.01607,13337.42972,17582.54047,17578.94495,17356.5283,17082.53081,17718.31642,18086.80661,18232.26055,18906.70878,17252.75045,,,,
